"currentWeight","theoreticalCount","site","trueCount"
"0.31","283","https://www.rarecarat.com/Home/GetAllurez/858769ae-b63d-4991-a811-de12140fe5f0","283"
"0.31","6","https://www.rarecarat.com/Home/GetBrianGavin/858769ae-b63d-4991-a811-de12140fe5f0","6"
"0.31","987","https://www.rarecarat.com/Home/GetRitani/858769ae-b63d-4991-a811-de12140fe5f0","25"
"0.31","1798","https://www.rarecarat.com/Home/GetJamesAllen/858769ae-b63d-4991-a811-de12140fe5f0","12"
"0.31","66","https://www.rarecarat.com/Home/GetKay/858769ae-b63d-4991-a811-de12140fe5f0","15"
"0.31","2127","https://www.rarecarat.com/Home/GetZoara/858769ae-b63d-4991-a811-de12140fe5f0","20"
"0.31","2981","https://www.rarecarat.com/Home/GetBlueNile/858769ae-b63d-4991-a811-de12140fe5f0","50"
"0.31","89","https://www.rarecarat.com/Home/GetJared/858769ae-b63d-4991-a811-de12140fe5f0","15"
"0.31","199","https://www.rarecarat.com/Home/GetWonderJewelers/858769ae-b63d-4991-a811-de12140fe5f0","50"
"0.32","218","https://www.rarecarat.com/Home/GetAllurez/585bbf11-ff64-4231-ad68-f778df70b3eb","218"
"0.32","8","https://www.rarecarat.com/Home/GetBrianGavin/585bbf11-ff64-4231-ad68-f778df70b3eb","8"
"0.32","688","https://www.rarecarat.com/Home/GetRitani/585bbf11-ff64-4231-ad68-f778df70b3eb","25"
"0.32","1275","https://www.rarecarat.com/Home/GetJamesAllen/585bbf11-ff64-4231-ad68-f778df70b3eb","12"
"0.32","29","https://www.rarecarat.com/Home/GetKay/585bbf11-ff64-4231-ad68-f778df70b3eb","15"
"0.32","1408","https://www.rarecarat.com/Home/GetZoara/585bbf11-ff64-4231-ad68-f778df70b3eb","20"
"0.32","2005","https://www.rarecarat.com/Home/GetBlueNile/585bbf11-ff64-4231-ad68-f778df70b3eb","50"
"0.32","67","https://www.rarecarat.com/Home/GetJared/585bbf11-ff64-4231-ad68-f778df70b3eb","15"
"0.32","152","https://www.rarecarat.com/Home/GetWonderJewelers/585bbf11-ff64-4231-ad68-f778df70b3eb","50"
"0.33","124","https://www.rarecarat.com/Home/GetAllurez/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","124"
"0.33","11","https://www.rarecarat.com/Home/GetBrianGavin/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","11"
"0.33","64","https://www.rarecarat.com/Home/GetZales/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","40"
"0.33","474","https://www.rarecarat.com/Home/GetRitani/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","25"
"0.33","1010","https://www.rarecarat.com/Home/GetJamesAllen/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","12"
"0.33","25","https://www.rarecarat.com/Home/GetKay/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","15"
"0.33","1064","https://www.rarecarat.com/Home/GetZoara/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","20"
"0.33","1729","https://www.rarecarat.com/Home/GetBlueNile/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","49"
"0.33","36","https://www.rarecarat.com/Home/GetJared/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","15"
"0.33","79","https://www.rarecarat.com/Home/GetWonderJewelers/320c70f7-0e7d-4bca-b17d-7f026a81e5d9","50"
"0.34","129","https://www.rarecarat.com/Home/GetAllurez/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","129"
"0.34","22","https://www.rarecarat.com/Home/GetBrianGavin/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","22"
"0.34","42","https://www.rarecarat.com/Home/GetZales/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","40"
"0.34","424","https://www.rarecarat.com/Home/GetRitani/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","25"
"0.34","989","https://www.rarecarat.com/Home/GetJamesAllen/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","12"
"0.34","10","https://www.rarecarat.com/Home/GetKay/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","10"
"0.34","1090","https://www.rarecarat.com/Home/GetZoara/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","20"
"0.34","1693","https://www.rarecarat.com/Home/GetBlueNile/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","50"
"0.34","32","https://www.rarecarat.com/Home/GetJared/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","15"
"0.34","93","https://www.rarecarat.com/Home/GetWonderJewelers/ec5ff9f4-b954-4e2a-b46e-f807cd8e428c","50"
"0.35000000000000003","106","https://www.rarecarat.com/Home/GetWhiteflash/3b60c3d4-a36e-4c73-8b70-11f7892315f8","50"
